learner_home_depriv,starts,achievements,achievement_rate,dropoff_rate,imd_quintile
One (most deprived),137440,74360,0.5410360884749709,0.45896391152502913,1
Two,140380,77570,0.5525715913947856,0.4474284086052144,2
Three,144240,82030,0.5687049362174155,0.43129506378258453,3
Four,144860,83830,0.5786966726494547,0.4213033273505453,4
Five (least deprived),132480,74780,0.5644625603864735,0.43553743961352653,5
