model,chi2,chi2_per_dof,bic,aic,coef_const,coef_imd_q,p_imd_q,coef_imd_q2,p_imd_q2
Linear,44.67410821498535,14.891369404995118,-30.881952821832265,-30.100828646700464,0.539035990196938,0.007439089267886232,0.10971848043136502,,
Quadratic,11.842145537189234,5.921072768594617,-35.911161285817506,-34.73947502311981,0.5102600191656261,0.03204933576709984,0.09506053082808949,-0.004114057822385402,0.1427243726303098
