subset,n,baseline_loocv_rmse,ols_coef,ols_pvalue,ols_r2,ols_loocv_rmse,wls_coef,wls_pvalue,wls_r2,most_influential_lep,max_cooks_d,max_leverage
All LEPs,38,0.03048868273077178,-0.0068723082167061085,0.3537078679409337,0.023934285790379595,0.03254867406976863,-0.013357389844264312,0.002639473191818449,0.22476060777901263,London,1.2246237026438682,0.564654555336033
Exclude London,37,0.02978193220137219,0.004304901735160155,0.6925853104411955,0.004519714788655427,0.03134686227342755,-0.0012043432095550494,0.8788002757671138,0.0006737097199909226,South East,0.3490526404922329,0.3916077237089861
