model,predictor,coef,pvalue,r2,rmse_loocv
Baseline (mean rate),const,,,,0.031312701182954795
OLS (rate),starts_10k,-0.0068723082167061085,0.3537078679409337,0.023934285790379595,0.03254867406976863
"WLS (rate, weights=starts)",starts_10k,-0.013357389844264312,0.002639473191818449,0.22476060777901263,0.032423521692111504
OLS (rate),log_starts,-0.0025379013308312257,0.7850851449850369,0.002092365853263556,0.03236674674375864
Binomial GLM (counts),starts_10k,-0.05402838216765017,1.2471581296435222e-67,,0.03240910666327979
