model,coef_const,coef_imd_q,aic,coef_imd_q2
GLM trend,0.15611113353518652,0.030218043600591965,246.6367748916091,
GLM quadratic,0.03989384415268972,0.129766643979909,116.15208394569345,-0.016654739169364195
