model,predictor,coef,pvalue,r2,rmse_in_sample,rmse_loocv
Baseline (mean),const,,,,0.03048868273077178,0.03048868273077178
OLS,starts_10k,-0.0068723082167061085,0.3537078679409337,0.023934285790379595,0.030121610603547816,0.03254867406976863
WLS (weights=starts),starts_10k,-0.013357389844264312,0.002639473191818449,0.22476060777901263,0.030623992615842487,0.032423521692111504
OLS,log_starts,-0.0025379013308312257,0.7850851449850369,0.002092365853263556,0.030456769289052974,0.03236674674375864
