model,aic,coef_imd_q,odds_ratio_per_step,pvalue,coef_imd_q2
GLM trend,246.6367748916091,0.030218043600591965,1.0306792424675828,1.1662595762251667e-68,
GLM quadratic,116.15208394569345,0.129766643979909,,,-0.016654739169364195
