term,coef_logodds,odds_ratio,or_ci_lower,or_ci_upper,pvalue
const,0.1645144007584058,1.178820545339252,1.1663801245122265,1.191393653672778,6.953384780556331e-203
Two,0.04655205727808493,1.0476526155925563,1.0321157349292789,1.0634233795816814,1.0177089451410708e-09
Three,0.11205487472932422,1.1185742404196026,1.1020633064606413,1.1353325385169024,2.326246288630441e-49
Four,0.15291099133495512,1.16522125953805,1.1480145130859327,1.1826859052763634,2.96969538327513e-90
Five (least deprived),0.09477889527650823,1.0994157422366995,1.082850052714681,1.116234857492643,2.0101735023146686e-34
