"time_period","time_identifier","geographic_level","country_name","country_code","age_youth_adult","age_summary","ssa_tier_1","learner_home_depriv","apps_level","apps_level_detailed","participation","starts","achievements"
201920,Academic year,National,England,E92000001,Total,Total,"Total",Total,Higher Apprenticeship,Level 5,z,25560,7770
201920,Academic year,National,England,E92000001,Total,Total,"Total",One (most deprived),Higher Apprenticeship,Level 5,z,5050,1510
201920,Academic year,National,England,E92000001,Total,Total,"Total",Two,Higher Apprenticeship,Level 5,z,5430,1670
201920,Academic year,National,England,E92000001,Total,Total,"Total",Three,Higher Apprenticeship,Level 5,z,5230,1590
201920,Academic year,National,England,E92000001,Total,Total,"Total",Four,Higher Apprenticeship,Level 5,z,5140,1550
201920,Academic year,National,England,E92000001,Total,Total,"Total",Five (least deprived),Higher Apprenticeship,Level 5,z,4430,1380
201920,Academic year,National,England,E92000001,Total,Total,"Total",Unknown,Higher Apprenticeship,Level 5,z,280,60
201920,Academic year,National,England,E92000001,Total,Total,"Total",Total,Higher Apprenticeship,Level 6,z,15050,1230
201920,Academic year,National,England,E92000001,Total,Total,"Total",One (most deprived),Higher Apprenticeship,Level 6,z,1920,150
201920,Academic year,National,England,E92000001,Total,Total,"Total",Two,Higher Apprenticeship,Level 6,z,2780,250
201920,Academic year,National,England,E92000001,Total,Total,"Total",Three,Higher Apprenticeship,Level 6,z,3100,250
201920,Academic year,National,England,E92000001,Total,Total,"Total",Four,Higher Apprenticeship,Level 6,z,3370,270
201920,Academic year,National,England,E92000001,Total,Total,"Total",Five (least deprived),Higher Apprenticeship,Level 6,z,3630,300
201920,Academic year,National,England,E92000001,Total,Total,"Total",Unknown,Higher Apprenticeship,Level 6,z,240,10
201920,Academic year,National,England,E92000001,Total,Total,"Total",Total,Higher Apprenticeship,Level 7,z,15410,1170
201920,Academic year,National,England,E92000001,Total,Total,"Total",One (most deprived),Higher Apprenticeship,Level 7,z,1590,80
201920,Academic year,National,England,E92000001,Total,Total,"Total",Two,Higher Apprenticeship,Level 7,z,2710,190
201920,Academic year,National,England,E92000001,Total,Total,"Total",Three,Higher Apprenticeship,Level 7,z,3140,250
201920,Academic year,National,England,E92000001,Total,Total,"Total",Four,Higher Apprenticeship,Level 7,z,3580,270
201920,Academic year,National,England,E92000001,Total,Total,"Total",Five (least deprived),Higher Apprenticeship,Level 7,z,4160,370
201920,Academic year,National,England,E92000001,Total,Total,"Total",Unknown,Higher Apprenticeship,Level 7,z,240,20
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Total,Total,Total,z,5890,2620
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",One (most deprived),Total,Total,z,680,310
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Two,Total,Total,z,1070,440
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Three,Total,Total,z,1630,780
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Four,Total,Total,z,1350,580
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Five (least deprived),Total,Total,z,1110,490
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Unknown,Total,Total,z,40,30
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Total,Intermediate Apprenticeship,Total,z,3220,1580
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",One (most deprived),Intermediate Apprenticeship,Total,z,410,190
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Two,Intermediate Apprenticeship,Total,z,590,260
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Three,Intermediate Apprenticeship,Total,z,900,490
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Four,Intermediate Apprenticeship,Total,z,710,320
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Five (least deprived),Intermediate Apprenticeship,Total,z,580,300
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Unknown,Intermediate Apprenticeship,Total,z,30,20
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Total,Intermediate Apprenticeship,Level 2,z,3220,1580
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",One (most deprived),Intermediate Apprenticeship,Level 2,z,410,190
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Two,Intermediate Apprenticeship,Level 2,z,590,260
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Three,Intermediate Apprenticeship,Level 2,z,900,490
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Four,Intermediate Apprenticeship,Level 2,z,710,320
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Five (least deprived),Intermediate Apprenticeship,Level 2,z,580,300
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Unknown,Intermediate Apprenticeship,Level 2,z,30,20
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Total,Advanced Apprenticeship,Total,z,2610,1020
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",One (most deprived),Advanced Apprenticeship,Total,z,270,120
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Two,Advanced Apprenticeship,Total,z,460,170
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Three,Advanced Apprenticeship,Total,z,710,280
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Four,Advanced Apprenticeship,Total,z,620,250
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Five (least deprived),Advanced Apprenticeship,Total,z,520,190
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Unknown,Advanced Apprenticeship,Total,z,20,20
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Total,Advanced Apprenticeship,Level 3,z,2610,1020
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",One (most deprived),Advanced Apprenticeship,Level 3,z,270,120
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Two,Advanced Apprenticeship,Level 3,z,460,170
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Three,Advanced Apprenticeship,Level 3,z,710,280
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Four,Advanced Apprenticeship,Level 3,z,620,250
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Five (least deprived),Advanced Apprenticeship,Level 3,z,520,190
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Unknown,Advanced Apprenticeship,Level 3,z,20,20
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Total,Higher Apprenticeship,Total,z,60,30
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",One (most deprived),Higher Apprenticeship,Total,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Two,Higher Apprenticeship,Total,z,20,10
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Three,Higher Apprenticeship,Total,z,20,10
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Four,Higher Apprenticeship,Total,z,10,10
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Five (least deprived),Higher Apprenticeship,Total,z,10,low
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Total,Higher Apprenticeship,Level 4,z,50,30
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",One (most deprived),Higher Apprenticeship,Level 4,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Two,Higher Apprenticeship,Level 4,z,20,10
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Three,Higher Apprenticeship,Level 4,z,20,10
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Four,Higher Apprenticeship,Level 4,z,10,10
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Five (least deprived),Higher Apprenticeship,Level 4,z,10,low
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Total,Higher Apprenticeship,Level 5,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Five (least deprived),Higher Apprenticeship,Level 5,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Total,Higher Apprenticeship,Level 6,z,10,low
201920,Academic year,National,England,E92000001,Total,Total,"Agriculture, Horticulture and Animal Care",Two,Higher Apprenticeship,Level 6,z,low,low
