"time_period","time_identifier","geographic_level","country_name","country_code","age_youth_adult","age_summary","ssa_tier_1","learner_home_depriv","apps_level","apps_level_detailed","participation","starts","achievements"
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Total,Intermediate Apprenticeship,Level 2,z,10810,5440
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",One (most deprived),Intermediate Apprenticeship,Level 2,z,2470,1160
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Two,Intermediate Apprenticeship,Level 2,z,2240,1080
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Three,Intermediate Apprenticeship,Level 2,z,2190,1190
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Four,Intermediate Apprenticeship,Level 2,z,2060,1040
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Five (least deprived),Intermediate Apprenticeship,Level 2,z,1790,920
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Unknown,Intermediate Apprenticeship,Level 2,z,70,40
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Total,Advanced Apprenticeship,Total,z,5780,2660
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",One (most deprived),Advanced Apprenticeship,Total,z,1030,430
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Two,Advanced Apprenticeship,Total,z,1090,490
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Three,Advanced Apprenticeship,Total,z,1210,540
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Four,Advanced Apprenticeship,Total,z,1250,600
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Five (least deprived),Advanced Apprenticeship,Total,z,1160,570
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Unknown,Advanced Apprenticeship,Total,z,50,40
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Total,Advanced Apprenticeship,Level 3,z,5780,2660
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",One (most deprived),Advanced Apprenticeship,Level 3,z,1030,430
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Two,Advanced Apprenticeship,Level 3,z,1090,490
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Three,Advanced Apprenticeship,Level 3,z,1210,540
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Four,Advanced Apprenticeship,Level 3,z,1250,600
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Five (least deprived),Advanced Apprenticeship,Level 3,z,1160,570
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Unknown,Advanced Apprenticeship,Level 3,z,50,40
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Total,Higher Apprenticeship,Total,z,3370,890
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",One (most deprived),Higher Apprenticeship,Total,z,380,130
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Two,Higher Apprenticeship,Total,z,560,140
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Three,Higher Apprenticeship,Total,z,680,170
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Four,Higher Apprenticeship,Total,z,810,220
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Five (least deprived),Higher Apprenticeship,Total,z,920,230
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Unknown,Higher Apprenticeship,Total,z,30,10
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Total,Higher Apprenticeship,Level 4,z,1130,520
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",One (most deprived),Higher Apprenticeship,Level 4,z,130,80
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Two,Higher Apprenticeship,Level 4,z,190,90
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Three,Higher Apprenticeship,Level 4,z,230,90
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Four,Higher Apprenticeship,Level 4,z,260,130
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Five (least deprived),Higher Apprenticeship,Level 4,z,300,130
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Unknown,Higher Apprenticeship,Level 4,z,10,low
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Total,Higher Apprenticeship,Level 5,z,low,280
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",One (most deprived),Higher Apprenticeship,Level 5,z,low,40
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Two,Higher Apprenticeship,Level 5,z,low,40
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Three,Higher Apprenticeship,Level 5,z,low,60
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Four,Higher Apprenticeship,Level 5,z,low,60
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Five (least deprived),Higher Apprenticeship,Level 5,z,low,70
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Unknown,Higher Apprenticeship,Level 5,z,low,10
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Total,Higher Apprenticeship,Level 6,z,1970,90
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",One (most deprived),Higher Apprenticeship,Level 6,z,220,10
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Two,Higher Apprenticeship,Level 6,z,310,10
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Three,Higher Apprenticeship,Level 6,z,380,10
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Four,Higher Apprenticeship,Level 6,z,480,30
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Five (least deprived),Higher Apprenticeship,Level 6,z,550,30
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Unknown,Higher Apprenticeship,Level 6,z,20,low
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Total,Higher Apprenticeship,Level 7,z,280,low
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",One (most deprived),Higher Apprenticeship,Level 7,z,20,low
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Two,Higher Apprenticeship,Level 7,z,50,low
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Three,Higher Apprenticeship,Level 7,z,60,low
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Four,Higher Apprenticeship,Level 7,z,70,low
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Five (least deprived),Higher Apprenticeship,Level 7,z,70,low
202021,Academic year,National,England,E92000001,Total,Total,"Construction, Planning and the Built Environment",Unknown,Higher Apprenticeship,Level 7,z,low,low
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Total,Total,Total,z,18400,10990
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",One (most deprived),Total,Total,z,2700,1650
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Two,Total,Total,z,3700,1940
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Three,Total,Total,z,3520,2080
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Four,Total,Total,z,3820,2210
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Five (least deprived),Total,Total,z,4480,3060
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Unknown,Total,Total,z,170,60
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Total,Intermediate Apprenticeship,Total,z,40,2550
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",One (most deprived),Intermediate Apprenticeship,Total,z,10,420
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Two,Intermediate Apprenticeship,Total,z,10,460
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Three,Intermediate Apprenticeship,Total,z,10,450
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Four,Intermediate Apprenticeship,Total,z,low,420
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Five (least deprived),Intermediate Apprenticeship,Total,z,20,810
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Unknown,Intermediate Apprenticeship,Total,z,low,10
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Total,Intermediate Apprenticeship,Level 2,z,40,2550
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",One (most deprived),Intermediate Apprenticeship,Level 2,z,10,420
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Two,Intermediate Apprenticeship,Level 2,z,10,460
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Three,Intermediate Apprenticeship,Level 2,z,10,450
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Four,Intermediate Apprenticeship,Level 2,z,low,420
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Five (least deprived),Intermediate Apprenticeship,Level 2,z,20,810
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Unknown,Intermediate Apprenticeship,Level 2,z,low,10
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Total,Advanced Apprenticeship,Total,z,9180,5220
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",One (most deprived),Advanced Apprenticeship,Total,z,1440,770
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Two,Advanced Apprenticeship,Total,z,1740,880
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Three,Advanced Apprenticeship,Total,z,1710,970
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Four,Advanced Apprenticeship,Total,z,1970,1110
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Five (least deprived),Advanced Apprenticeship,Total,z,2260,1480
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Unknown,Advanced Apprenticeship,Total,z,70,20
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Total,Advanced Apprenticeship,Level 3,z,9180,5220
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",One (most deprived),Advanced Apprenticeship,Level 3,z,1440,770
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Two,Advanced Apprenticeship,Level 3,z,1740,880
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Three,Advanced Apprenticeship,Level 3,z,1710,970
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Four,Advanced Apprenticeship,Level 3,z,1970,1110
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Five (least deprived),Advanced Apprenticeship,Level 3,z,2260,1480
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Unknown,Advanced Apprenticeship,Level 3,z,70,20
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Total,Higher Apprenticeship,Total,z,9170,3220
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",One (most deprived),Higher Apprenticeship,Total,z,1250,460
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Two,Higher Apprenticeship,Total,z,1960,610
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Three,Higher Apprenticeship,Total,z,1810,660
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Four,Higher Apprenticeship,Total,z,1850,680
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Five (least deprived),Higher Apprenticeship,Total,z,2210,770
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Unknown,Higher Apprenticeship,Total,z,100,40
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Total,Higher Apprenticeship,Level 4,z,6780,2560
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",One (most deprived),Higher Apprenticeship,Level 4,z,950,390
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Two,Higher Apprenticeship,Level 4,z,1510,500
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Three,Higher Apprenticeship,Level 4,z,1340,530
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Four,Higher Apprenticeship,Level 4,z,1280,530
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Five (least deprived),Higher Apprenticeship,Level 4,z,1640,580
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Unknown,Higher Apprenticeship,Level 4,z,60,30
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Total,Higher Apprenticeship,Level 6,z,1710,580
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",One (most deprived),Higher Apprenticeship,Level 6,z,240,70
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Two,Higher Apprenticeship,Level 6,z,310,100
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Three,Higher Apprenticeship,Level 6,z,320,110
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Four,Higher Apprenticeship,Level 6,z,400,120
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Five (least deprived),Higher Apprenticeship,Level 6,z,420,170
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Unknown,Higher Apprenticeship,Level 6,z,30,10
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Total,Higher Apprenticeship,Level 7,z,690,70
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",One (most deprived),Higher Apprenticeship,Level 7,z,70,low
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Two,Higher Apprenticeship,Level 7,z,140,10
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Three,Higher Apprenticeship,Level 7,z,160,20
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Four,Higher Apprenticeship,Level 7,z,170,20
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Five (least deprived),Higher Apprenticeship,Level 7,z,150,20
202021,Academic year,National,England,E92000001,Total,Total,"Digital Technology",Unknown,Higher Apprenticeship,Level 7,z,20,low
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Total,Total,Total,z,8490,3820
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",One (most deprived),Total,Total,z,1630,820
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Two,Total,Total,z,1770,850
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Three,Total,Total,z,1720,760
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Four,Total,Total,z,1690,730
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Five (least deprived),Total,Total,z,1600,640
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Unknown,Total,Total,z,90,20
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Total,Intermediate Apprenticeship,Total,z,30,1050
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",One (most deprived),Intermediate Apprenticeship,Total,z,low,260
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Two,Intermediate Apprenticeship,Total,z,10,240
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Three,Intermediate Apprenticeship,Total,z,low,210
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Four,Intermediate Apprenticeship,Total,z,10,180
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Five (least deprived),Intermediate Apprenticeship,Total,z,10,160
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Unknown,Intermediate Apprenticeship,Total,z,low,10
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Total,Intermediate Apprenticeship,Level 2,z,30,1050
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",One (most deprived),Intermediate Apprenticeship,Level 2,z,low,260
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Two,Intermediate Apprenticeship,Level 2,z,10,240
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Three,Intermediate Apprenticeship,Level 2,z,low,210
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Four,Intermediate Apprenticeship,Level 2,z,10,180
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Five (least deprived),Intermediate Apprenticeship,Level 2,z,10,160
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Unknown,Intermediate Apprenticeship,Level 2,z,low,10
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Total,Advanced Apprenticeship,Total,z,4770,2170
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",One (most deprived),Advanced Apprenticeship,Total,z,1070,500
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Two,Advanced Apprenticeship,Total,z,1050,470
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Three,Advanced Apprenticeship,Total,z,940,430
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Four,Advanced Apprenticeship,Total,z,900,410
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Five (least deprived),Advanced Apprenticeship,Total,z,770,350
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Unknown,Advanced Apprenticeship,Total,z,40,10
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Total,Advanced Apprenticeship,Level 3,z,4770,2170
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",One (most deprived),Advanced Apprenticeship,Level 3,z,1070,500
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Two,Advanced Apprenticeship,Level 3,z,1050,470
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Three,Advanced Apprenticeship,Level 3,z,940,430
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Four,Advanced Apprenticeship,Level 3,z,900,410
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Five (least deprived),Advanced Apprenticeship,Level 3,z,770,350
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Unknown,Advanced Apprenticeship,Level 3,z,40,10
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Total,Higher Apprenticeship,Total,z,3700,600
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",One (most deprived),Higher Apprenticeship,Total,z,560,60
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Two,Higher Apprenticeship,Total,z,720,140
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Three,Higher Apprenticeship,Total,z,770,120
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Four,Higher Apprenticeship,Total,z,780,140
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Five (least deprived),Higher Apprenticeship,Total,z,820,130
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Unknown,Higher Apprenticeship,Total,z,50,10
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Total,Higher Apprenticeship,Level 4,z,810,40
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",One (most deprived),Higher Apprenticeship,Level 4,z,100,low
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Two,Higher Apprenticeship,Level 4,z,130,10
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Three,Higher Apprenticeship,Level 4,z,180,10
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Four,Higher Apprenticeship,Level 4,z,190,10
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Five (least deprived),Higher Apprenticeship,Level 4,z,210,10
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Unknown,Higher Apprenticeship,Level 4,z,10,low
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Total,Higher Apprenticeship,Level 5,z,1330,130
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",One (most deprived),Higher Apprenticeship,Level 5,z,250,20
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Two,Higher Apprenticeship,Level 5,z,280,30
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Three,Higher Apprenticeship,Level 5,z,270,20
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Four,Higher Apprenticeship,Level 5,z,270,30
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Five (least deprived),Higher Apprenticeship,Level 5,z,240,30
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Unknown,Higher Apprenticeship,Level 5,z,30,low
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Total,Higher Apprenticeship,Level 6,z,1060,240
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",One (most deprived),Higher Apprenticeship,Level 6,z,160,30
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Two,Higher Apprenticeship,Level 6,z,220,50
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Three,Higher Apprenticeship,Level 6,z,220,50
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Four,Higher Apprenticeship,Level 6,z,230,50
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Five (least deprived),Higher Apprenticeship,Level 6,z,240,50
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Unknown,Higher Apprenticeship,Level 6,z,low,low
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Total,Higher Apprenticeship,Level 7,z,490,190
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",One (most deprived),Higher Apprenticeship,Level 7,z,50,20
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Two,Higher Apprenticeship,Level 7,z,100,40
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Three,Higher Apprenticeship,Level 7,z,110,30
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Four,Higher Apprenticeship,Level 7,z,90,50
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Five (least deprived),Higher Apprenticeship,Level 7,z,130,50
202021,Academic year,National,England,E92000001,Total,Total,"Education and Training",Unknown,Higher Apprenticeship,Level 7,z,10,low
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Total,Total,Total,z,39510,23670
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",One (most deprived),Total,Total,z,6930,4210
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Two,Total,Total,z,7090,4270
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Three,Total,Total,z,9210,5460
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Four,Total,Total,z,8060,4810
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Five (least deprived),Total,Total,z,7720,4610
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Unknown,Total,Total,z,510,310
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Total,Intermediate Apprenticeship,Total,z,13250,9030
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",One (most deprived),Intermediate Apprenticeship,Total,z,2990,1970
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Two,Intermediate Apprenticeship,Total,z,2580,1860
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Three,Intermediate Apprenticeship,Total,z,3770,2330
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Four,Intermediate Apprenticeship,Total,z,1970,1560
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Five (least deprived),Intermediate Apprenticeship,Total,z,1830,1270
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Unknown,Intermediate Apprenticeship,Total,z,120,50
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Total,Intermediate Apprenticeship,Level 2,z,13250,9030
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",One (most deprived),Intermediate Apprenticeship,Level 2,z,2990,1970
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Two,Intermediate Apprenticeship,Level 2,z,2580,1860
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Three,Intermediate Apprenticeship,Level 2,z,3770,2330
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Four,Intermediate Apprenticeship,Level 2,z,1970,1560
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Five (least deprived),Intermediate Apprenticeship,Level 2,z,1830,1270
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Unknown,Intermediate Apprenticeship,Level 2,z,120,50
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Total,Advanced Apprenticeship,Total,z,22440,13430
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",One (most deprived),Advanced Apprenticeship,Total,z,3440,2080
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Two,Advanced Apprenticeship,Total,z,3900,2210
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Three,Advanced Apprenticeship,Total,z,4640,2870
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Four,Advanced Apprenticeship,Total,z,5210,2970
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Five (least deprived),Advanced Apprenticeship,Total,z,4930,3070
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Unknown,Advanced Apprenticeship,Total,z,320,240
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Total,Advanced Apprenticeship,Level 3,z,22440,13430
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",One (most deprived),Advanced Apprenticeship,Level 3,z,3440,2080
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Two,Advanced Apprenticeship,Level 3,z,3900,2210
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Three,Advanced Apprenticeship,Level 3,z,4640,2870
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Four,Advanced Apprenticeship,Level 3,z,5210,2970
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Five (least deprived),Advanced Apprenticeship,Level 3,z,4930,3070
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Unknown,Advanced Apprenticeship,Level 3,z,320,240
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Total,Higher Apprenticeship,Total,z,3820,1210
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",One (most deprived),Higher Apprenticeship,Total,z,500,160
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Two,Higher Apprenticeship,Total,z,610,200
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Three,Higher Apprenticeship,Total,z,810,260
202021,Academic year,National,England,E92000001,Total,Total,"Engineering and Manufacturing Technologies",Four,Higher Apprenticeship,Total,z,880,290
